title,author,date,publication_type,rejection_reason
The Thug Passion Series: Thug Passion 1,Mz. Lady p,2025,book,
The Thug Passion Series: Thug Passion 2,Mz. Lady p,2025,book,
The Thug Passion Series: Thug Passion 3,Mz. Lady p,2025,book,
The Thug Passion Series: Thug Passion 4,Mz. Lady p,2025,book,
No Holes a Dual Manifesto of Sexual Exploration and Power Barred,"Mandii B, WeezyWTF",2025,book,
The King Series: The Dark Light of Day,TM Frazier,2025,book,
The King Series: King of the Causeway,TM Frazier,2025,book,
The King Series: King,TM Frazier,2025,book,
The King Series: Tyrant,TM Frazier,2025,book,
The King Series: Lawless,TM Frazier,2025,book,
The King Series: Soulless,TM Frazier,2025,book,
The King Series: Preppy: The Life and Death of Samuel Clearwater,TM Frazier,2025,book,
The King Series: Preppy Part Two: The Life and Death of Samuel Clearwater,TM Frazier,2025,book,
"The King Series: Preppy, Part Three: The Life and Death of Samuel Clearwater",TM Frazier,2025,book,
Bloodline of a Savage 1,Prince A. Tauhid,2025,book,
"Bloodline of a Savage 2, Revelations",Prince A. Tauhid,2025,book,
"Bloodline of a Savage 3, Wrath",Prince A. Tauhid,2025,book,
The Big Book of Conspiracies,Tim Rayborn,2025,book,
"Ku Klux Terror: Birmingham, AL 1866 – Present",Michael Newton,2025,book,
White Robes and Broken Badges – Infiltrating the KKK and Exposing the Evil Among Us,Joe Moore,2025,book,
Why Do Men…?,R.I. Richardsun (pen name),2025,book,
Thirty-Two,Ronald Russell,2025,book,
The Gideon Series: Sleeping with Strangers,Eric Jerome Dickey,2025,book,
The Gideon Series: Waking with Enemies,Eric Jerome Dickey,2025,book,
The Gideon Series: Dying for Revenge,Eric Jerome Dickey,2025,book,
The Gideon Series: Resurrecting Midnight,Eric Jerome Dickey,2025,book,
The Gideon Series: Finding Gideon,Eric Jerome Dickey,2025,book,
A Wanted Woman,Eric Jerome Dickey,2025,book,
Bad Men and Wicked Women,Eric Jerome Dickey,2025,book,
Tempted by Trouble,Eric Jerome Dickey,2025,book,
The 33 Strategies of War,Robert Greene,2025,book,
The Blood Saga Book2 Blood &Betrayal,Avery Brown,2025,book,
Hoe Bible Old Testament,Delana Young,2025,book,
The Prada Plan,Ashley Antoinette,2025,book,
The Prada Plan2 Leah's Story,Ashley Antoinette,2025,book,
The Coldest Winter Ever,Sister Souljah,2025,book,
Pimpology: The 48 Laws of the Game (A Relationship Guide)” by Pimpin Ken and karen Hunter Published,Pimpin Ken and karen Hunter,2025,book,
Berserk Volume 1,Kenatro Miura and Jason DeAngelis,2025,book,
Berserk Volume 2,Kenatro Miura and Jason DeAngelis,2025,book,
Berserk Volume 3,Kenatro Miura and Jason DeAngelis,2025,book,
The Cartel,Ashley & JaQuavis,2025,book,
The Cartel 2: Tale of the Murda Mamas,Ashley & JaQuavis,2025,book,
The Cartel 3: The Last Chapter,Ashley & JaQuavis,2025,book,
The Cartel 4: Diamonds Are Forever,Ashley & JaQuavis,2025,book,
The Cartel 5: La Bella Mafia,Ashley & JaQuavis,2025,book,
The Cartel 6: The Demise,Ashley & JaQuavis,2025,book,
The Cartel 7: Illuminati: Roundtable of Bosses,Ashley & JaQuavis,2025,book,
Money Devils 1: A Cartel Novel,Ashley & JaQuavis,2025,book,
Long Live the Cartel,Ashley & JaQuavis,2025,book,
Classics of Strategy and Counsel: The Collected Translations of Thomas Cleary – Volume One”,Thomas Cleary,2024,book,
The Art of War,Sun Tzu,2024,book,
Energy Magick of the Vampyre,Don Webb,2024,book,
Hebrews to Negroes: Wake Up Black America,"Ronald Dalton, Jr",2024,book,
"The Blood Saga, Book 1, Blood & Loyalty",Christopher Avery Brown,2024,book,
Flyers: Israel United in Christ. www.israelunite.org,,2022,book,
"Worth Rises, 166 Canal Street 6th Floor, New NY 10013: Dismantling the Prison Industrial Complex.",,2021,book,
"New York Times Bestselling Author of son and Doc, Jack Olsen, “I”, The Creation of a Serial Killer, True Crime at Its Best-Kirkus Reviews",,2021,periodical,
"New York Times bestselling author of Starvation Heights, Jack Olsen, Son a Psychopath and his Victims, copyright 1983, foreword copyright 2015",Gregg Olsen,2021,periodical,
"The Big Book of Serial Killers, An Encyclopedia of Serial Killers, 150 Serial Killer Files of the World’s Worst Murderers",LAK Publishing,2021,book,
"Sports Illustrated Magazine-Life, Levity and the Pursuit of Beauty, August 1-2, 2020 Volume 131 8/9 Swimsuit",,2020,periodical,
"GON, Georgia Outdoor News, July 2018",Georgia Outdoor News,2019,periodical,
"Black and Pink, October/November 2018",,2019,periodical,
Journal-December 2018,Men,2019,periodical,
Rolling Stone (The Hot Issue)-November 2018,,2019,periodical,
"National Geographic, October 2018",,2019,periodical,
"ELLE, February 2019",,2019,periodical,
"BAZAAR, October 2018",,2019,periodical,
"ELLE, September 2018",,2019,periodical,
The ISIS PAPERS,Welsing,2019,book,
"Health, June 2019",Men,2019,periodical,
"New York, April 1-14, 2019",,2019,periodical,
"ESPN Body Issue, October 2019",,2019,periodical,
"New York, June 24-July 7, 2019",,2019,periodical,
"Allure, October 2017",,2018,periodical,
"Allure, The New Naked 2018",,2018,periodical,
"Artist Magazine, April 2018",,2018,periodical,
"Artists Magazine, May 2018",,2018,periodical,
Confessions of a video vixen,,2018,book,
"Cosmopolitan, December 2017, February 2018",,2018,periodical,
"Cosmopolitan, March 2018",,2018,periodical,
"Elle, The Party Issue, 2018",The Party Issue,2018,periodical,
"Esquire, Man at his Best, April 2018",Man at his Best,2018,periodical,
"Fifth Estate, Fall 2017",,2018,periodical,
"FLEX, October 2017",,2018,periodical,
"Glamour, December 2017",,2018,periodical,
"Inked, October 2017",,2018,periodical,
"Inked, January 2018",,2018,periodical,
"Inked, March 2018",,2018,periodical,
"Inked, July 2018",,2018,periodical,
"Los Angeles Magazine, January 2018",,2018,periodical,
"Marie Clarie, February 2018",,2018,periodical,
"Marie Clarie, March 2018",,2018,periodical,
"Maxim, October 2017",,2018,periodical,
"Maxim, November 2017",,2018,periodical,
"National Geographic History, April 2018",,2018,periodical,
"New York, October 2017",,2018,periodical,
"New York, Feb 5-18, 2018",,2018,periodical,
"New York, April 16-19, 2018",,2018,periodical,
"New York, Sept 18 – Oct 1, 2017",,2018,periodical,
"Popular Mechanics, January/February 2018",,2018,periodical,
"Psychology Today, December 2017",,2018,periodical,
"Rolling Stone Magazine, 1299, 1300, November 2017",,2018,periodical,
"Scientific American, October 2017",,2018,periodical,
"Smooth, Issue #71",,2018,periodical,
"Sports Illustrated, 2018 Swimsuit Calendar/Issue",,2018,periodical,
"Star, September 2017",,2018,periodical,
"Star, December 2017",,2018,periodical,
"Star, March 26, 2018",,2018,periodical,
"Tattoo, November/December 2017",,2018,periodical,
"Tattoo, Spring 2018",,2018,periodical,
"The New Yorker, October 2017",,2018,periodical,
Thrill the Body…Great in bed…Blow the Mind,,2018,book,
"Time, October 30, 2017",,2018,periodical,
"U.S. Weekly, October 2017 Issue 41",,2018,periodical,
"Vogue, September 2017",,2018,periodical,
"Predator Extreme, October 2018",,2018,periodical,
"Allure, December 2016",,2017,periodical,
"Allure, January 2017",,2017,periodical,
"Allure, March 2017",,2017,periodical,
"Allure, August 2017",,2017,periodical,
Architectural Digest May 2017,,2017,periodical,
"Black and Pink, August and September 2016 Newsletter",,2017,periodical,
"Black and Pink, June 2017",,2017,periodical,
"Bay View San Francisco, November 2016",,2017,periodical,
"Boat, May 2017",,2017,periodical,
"Bottles and Modelz, Issue #004",,2017,periodical,
"BuckMasters, August 2017",,2017,periodical,
Comrade Criminal-Russia’s New Mafia,Stephen Handleman,2017,book,
"Cosmopolitan; January, March, April and May 2017",,2017,periodical,
Cosmopolitan; June 2017,,2017,periodical,
"Drawing, Winter 2017",,2017,periodical,
"Drawing, Spring 2017",,2017,periodical,
"Drawing, Summer 2017",,2017,periodical,
"Earth First, Summer 2017",,2017,periodical,
"Ebony, August 2016",,2017,periodical,
Eden Press 2016,,2017,book,
"Elle, June 2017",,2017,periodical,
"Elle, September 2017",,2017,periodical,
"ESPN, May 8th, 2017",,2017,periodical,
"ESPN Body, July 2017",,2017,periodical,
Esquire November 2016,,2017,periodical,
"Esquire, March 2017",,2017,periodical,
"Esquire, April 2017",,2017,periodical,
"Esquire, September 2017",,2017,periodical,
"Fifth Estate, Summer 2017",,2017,periodical,
Fifty Shades Trilogy,,2017,book,
"Georgia Outdoor News, August 2017",,2017,periodical,
"Glamour, July 2017",,2017,periodical,
"Glamour, October 2017",,2017,periodical,
"GQ, December 2016",,2017,periodical,
"GQ, March 2017",,2017,periodical,
"GQ, August 2017",,2017,periodical,
"Bazaar, March 2017",Harper,2017,periodical,
"Hot Bike, March and May 2017",,2017,periodical,
"Hot Bike, June 2017",,2017,periodical,
"Hot Bike, September 2017",,2017,periodical,
Human Body Identification Manual,,2017,book,
"Inked, November/December 2016",,2017,periodical,
"Inked, January and February 2017",,2017,periodical,
"Inked, April 2017",,2017,periodical,
"Inked, May 2017",,2017,periodical,
"Inked, July 2017",,2017,periodical,
"Inked, August 2017",,2017,periodical,
"Inked, September 2017",,2017,periodical,
"Latina, November 2016",,2017,periodical,
"Marie Claire, November 2016",,2017,periodical,
"Marie Claire, December 2016",,2017,periodical,
"Marie Claire, March 2017",,2017,periodical,
"Maxim, December/January 2017",,2017,periodical,
"Maxim, February 2017",,2017,periodical,
"Health, September 2017",Men,2017,periodical,
"Health, October 2017",Men,2017,periodical,
"Fitness, March 2017",Men,2017,periodical,
Monster by Sanyika Shakur by aka Kody Scott,Sanyika Shakur by aka Kody Scott,2017,book,
National Geographic January 2017,,2017,periodical,
National Geographic En Espanol January 2017,,2017,periodical,
National Geographic History January/Febuary 2017,,2017,periodical,
National Geographic History May/June 2017,,2017,periodical,
"National Geographic, June 2017",,2017,periodical,
"National Geographic, September/October 2017",,2017,periodical,
"New York, December 12-25, 2016",,2017,periodical,
"New York, April 17-30, 2017",,2017,periodical,
"New York-Fall Fashion, August 2017",,2017,periodical,
Noble Quran,,2017,book,
"OK Magazine January 30, 2017",,2017,periodical,
"Ok, May 15 and 22",,2017,book,
"OK, July 2017",,2017,periodical,
"Outdoor Life, June/July 2017",,2017,periodical,
"Popular Mechanics, April 2017",,2017,periodical,
"Predator Extreme, October 2016",,2017,periodical,
"Psychology Today, February 2017",,2017,periodical,
"PoledBLVD, 2017-18 Calendar",,2017,book,
"Redemption, Manual 4.5 Edition",,2017,book,
"Release, February/March 2017",,2017,periodical,
"Rolling Stone, February 23rd-March 9, 2017",,2017,periodical,
"Rolling Stone, July 13-27 2017",,2017,periodical,
"Smoot, Issue #70",,2017,periodical,
Sports Illustrated Swimsuit 2017,,2017,periodical,
"Star, May 15, 2017",,2017,periodical,
"Survival; October, November and December 2016",,2017,periodical,
"Survival Guide, Vol. 6 Issue 10",,2017,periodical,
"Tattoo, May/June 2017",,2017,periodical,
"Teen Vogue, Volume 1 2017",,2017,periodical,
"The Change Agent, March 2016",,2017,periodical,
The Mammoth Book of Vampire Romance 2,Trisha Telep,2017,book,
"The Oprah Magazine, October 2017",,2017,periodical,
"The Student Insurgent, Volume 28.2",,2017,book,
"The Strain – Book Three by Lapham, Huddleston & Jackson",Huddleston & Jackson,2017,book,
"Tools for Freedom, 2017",,2017,periodical,
"US Weekly, January 2, 2017",,2017,periodical,
"Vogue, March 2017",,2017,periodical,
"Vogue, May 2017",,2017,periodical,
"Wild & Wanton edition of Pride & Prejudice, Bloom & Austen",,2017,book,
"W, December 2016",,2017,periodical,
"W, March 2017",,2017,periodical,
"Wired, September 2017",,2017,periodical,
"Abolitionist, Number 25&26, November 2016",,2016,periodical,
"American Survival, November and December 2015",,2016,periodical,
"American Rage by Esquire, February 2016",Esquire,2016,periodical,
CODE Nov/Dec 2015,,2016,periodical,
"Cosmopolitan, September and October 2016",,2016,periodical,
"Esquire, October 2016",,2016,periodical,
"Maxim, September 2016",,2016,periodical,
"Health, July/August 2016",Men,2016,periodical,
National Geographic January 2016,,2016,periodical,
"Rolling Stone, September 22, 2016",,2016,periodical,
"Star, January 11, 2016",,2016,periodical,
"Sports Illustrated, “In the Paint”",,2016,periodical,
"Sports Illustrated, August 22, 2016",,2016,periodical,
Vogue January 2016,,2016,periodical,
Allure-January 2015,,2015,periodical,
"Allure-The Beauty Expert, March 2015",,2015,periodical,
Allure-May 2015,,2015,periodical,
Allure-October 2015,,2015,periodical,
"Black Men-February 8, 2016",,2015,periodical,
Black Scarface “The Wrath of Face”,Jimmy Dasaint,2015,book,
The Great and Secret Show,Clive Barker,2015,book,
CODE May/June,,2015,periodical,
CODE July/Aug,,2015,periodical,
CODE Sep/Oct,,2015,periodical,
"Cosmopolitan-Volume 258, No. 2, February 2015",,2015,periodical,
Cosmopolitan-March 2015,,2015,periodical,
Cosmopolitan-April 2015,,2015,periodical,
Cosmopolitan-June 2015,,2015,periodical,
Cosmopolitan-September 2015,,2015,periodical,
Cosmopolitan-October 2015,,2015,periodical,
Cosmopolitan-November 2015,,2015,periodical,
"Details, October 2015",,2015,periodical,
Elle-February 2015,,2015,periodical,
Elle-March 2015,,2015,periodical,
Elle-May 2015,,2015,periodical,
Elle-October 2015,,2015,periodical,
"Esquire-Volume 163, No. 1 &2, January/ February 2015",,2015,periodical,
"Esquire-Women and Men, April 2015",,2015,periodical,
"Esquire-The Style Issue, September 2015",,2015,periodical,
Esquire-September 2015,,2015,periodical,
Esquire-October 2015,,2015,periodical,
Fangora-December 2014,,2015,periodical,
Fangora #344,,2015,periodical,
Flex-February 2015,,2015,periodical,
Gangland “The Rise of the Mexican Drug Cartel from El Paso to Vancouver”,Jerry Langton,2015,book,
Georgia Outdoor News-March 2015,,2015,periodical,
Glamour-January 2015,,2015,periodical,
GQ-May 2015,,2015,periodical,
GQ-August 2015,,2015,periodical,
GQ-October 2015,,2015,periodical,
GQ November 2015,,2015,periodical,
Hacking for Dummies-3rd Edition,Kevin Beaver*,2015,book,
Hidden Expressions-Volume 11,,2015,book,
"Hip Hop Weekly-Volume 9, Issue 26",,2015,periodical,
"Hot Bike-Volume 47, No. 1, January 2015",,2015,periodical,
Hot Bike-February 2015,,2015,periodical,
"Hot Bike-Volume 47, Number 3, March 2015",,2015,periodical,
Hot Bike-April 2015,,2015,periodical,
Hot Bike-May 2015,,2015,periodical,
Hot Bike-November/December 2015,,2015,periodical,
JOE WEIDER’S FLEX-March 2015,,2015,periodical,
LATINA-February 2015,,2015,periodical,
Marie Claire-September 2015,,2015,periodical,
MAXIM-March 2015,,2015,periodical,
MAXIM-October 2015,,2015,periodical,
MAXIM-November 2015,,2015,periodical,
Fitness-January/February 2015,Men,2015,periodical,
Fitness-November 2015,Men,2015,periodical,
National Geographic-January 2015,,2015,periodical,
Nylon-March 2015,,2015,periodical,
"OK! August 24, 2015",,2015,periodical,
Oxford Dictionary of Computing-Sixth Edition,,2015,book,
Popular Science-October 2015,,2015,periodical,
Psycho USA-Famous American Killers You Never Heard Of”,Harold Schechter,2015,book,
Puddin’,Aaron Friday,2015,book,
"Revolver-Issue #118, December 2014",,2015,periodical,
"Revolver-Issue #119, January 2015",,2015,periodical,
"Rolling Stone-Issue 1223, December 4, 2014)",,2015,periodical,
"Rolling Stone-Issue 1228, February 12, 2015",,2015,periodical,
Scientific American-February 2015,,2015,periodical,
"Skin and Ink-Issue 155, February 2015",,2015,periodical,
Skin And Ink-April 2015,,2015,periodical,
"Skin and Ink-June 2015, Issue 157",,2015,periodical,
Skin and Ink-October 2015,,2015,periodical,
Smithsonian-October 2015,,2015,periodical,
"Sports Illustrated-Swimsuit 2015, Winter 2015",,2015,periodical,
"Star “Celebrity News”-January 19, 2015",,2015,periodical,
"Star “Celebrity News”-February 23, 2015",,2015,periodical,
Super Street-The Best Tuner Mag Ever - February 2015,,2015,periodical,
"Surfing Magazine-Issue 03, 2015",,2015,periodical,
"Surfer Magazine, Photo Annual 2015-March",,2015,periodical,
The Art Of Seduction”,Robert Greene,2015,book,
The CARTEL 5 “La Bella Mafia”,Ashley and JaQuavis,2015,book,
"The Economist-February 28th-March 6th, 2015",,2015,periodical,
The 48 Laws of Power”,Robert Green,2015,book,
The Inner Art of Karate”,Kenji Tokitsu,2015,book,
The Interpretation of the Meanings of the Noble Qur’an” (Part 30 by Dr. Muhammad Muham Khan and Dr. Muhammad Taqui-ud-Din Al-Hilali),Dr. Muhammad Muham Khan and Dr. Muhammad Taqui-ud-Din Al-Hilali),2015,book,
The Noble Qur’an,,2015,book,
The Red Bulletin-November 2016,,2015,periodical,
"The Voice of the Anti-Imperialist Movement from Under Lock & Key (Publication of the Maoist Internationalist Ministry of Prisons) March/April 2015, No. 43",,2015,periodical,
"2600 The Hacker Quarterly-Volume Thirty-One, No. 3, Autumn 2014",,2015,periodical,
"2600 The Hacker Quarterly-Volume Thirty-One, No. 4, Winter 2014-2015",,2015,periodical,
"2600 The Hacker Quarterly-Volume Thirty-Two, No. 1, Spring 2015",,2015,periodical,
TVyNovelas-May 2015,,2015,periodical,
"Under Lock & Key-No. 38, May/June 2014",,2015,periodical,
"Under Lock & Key-No. 41, November/December 2014",,2015,periodical,
"Under Lock & Key-No. 45, July/August 2015",,2015,periodical,
"United Front - The Official Theoretical Journal of the Maoist Internationalist Movement, No. 14",,2015,book,
"Us Weekly-Issue 1033, December 1, 2014",,2015,periodical,
"Us Weekly-Issue 1058, January 5, 2015",,2015,periodical,
"Us Weekly-Issue 1042, February 2, 2015",,2015,periodical,
"Us Weekly-Issue 1045, February 23, 2015",,2015,periodical,
"Us Weekly-Issue 1046, March 2, 2015",,2015,periodical,
"Us Weekly-Issue 1047, March 9, 2015",,2015,periodical,
"Us Weekly-Issue 1049, March 23, 2015",,2015,periodical,
"Us Weekly-September 14, 2015",,2015,periodical,
Vogue-September 2015,,2015,periodical,
Vogue-October 2015,,2015,periodical,
W-March 2015,,2015,periodical,
Wahida Clark Presents the Catalog-January/March 2015,,2015,periodical,
WIRED-March 2015,,2015,periodical,
Health-May 2015,Women,2015,periodical,
XXI-Hip Hop On A Higher Level-Spring,,2015,book,
